0f869580-8825-3beb-b3e2-b251e3e2128c	5	Tagore Garden	[{"Lat": 28.660483, "Lng": 77.101947}, {"Lat": 28.650466, "Lng": 77.104608}, {"Lat": 28.645198, "Lng": 77.105623}, {"Lat": 28.641884, "Lng": 77.107855}, {"Lat": 28.650245, "Lng": 77.125278}, {"Lat": 28.65384, "Lng": 77.124059}, {"Lat": 28.659429, "Lng": 77.128898}, {"Lat": 28.658716, "Lng": 77.123784}, {"Lat": 28.660672, "Lng": 77.118426}]
d6c261b6-2a91-309d-9886-8c3089986d60	5	Dwarka Sector - 19	[{"Lat": 28.592511, "Lng": 77.034947}, {"Lat": 28.583486, "Lng": 77.025978}, {"Lat": 28.57934, "Lng": 77.03868}, {"Lat": 28.568184, "Lng": 77.031728}, {"Lat": 28.566754, "Lng": 77.039344}, {"Lat": 28.570367, "Lng": 77.051373}, {"Lat": 28.577297, "Lng": 77.057426}]
c18c4f55-2b10-3477-9ad6-78499b20179e	5	Shalimar Bagh	[{"Lat": 28.731482, "Lng": 77.150651}, {"Lat": 28.726305, "Lng": 77.143031}, {"Lat": 28.716972, "Lng": 77.139598}, {"Lat": 28.715101, "Lng": 77.142433}, {"Lat": 28.702403, "Lng": 77.155144}, {"Lat": 28.709654, "Lng": 77.169963}]
5ac78528-1ba6-348e-865a-0645ea48ca36	5	Metro Vihar	[{"Lat": 28.820624, "Lng": 77.100884}, {"Lat": 28.811292, "Lng": 77.07943}, {"Lat": 28.797002, "Lng": 77.087154}, {"Lat": 28.806384, "Lng": 77.114222}]
61de805d-02e9-3b74-aa1c-8e786931bf9d	5	Naraina	[{"Lat": 28.63073, "Lng": 77.133268}, {"Lat": 28.62749, "Lng": 77.134126}, {"Lat": 28.61577, "Lng": 77.141553}, {"Lat": 28.609168, "Lng": 77.172727}, {"Lat": 28.63243, "Lng": 77.172998}, {"Lat": 28.645232, "Lng": 77.143775}]
a4ccd287-e3a7-31a0-a2fb-3b07eb664986	5	Prahladpur	[{"Lat": 28.71932, "Lng": 77.068282}, {"Lat": 28.712056, "Lng": 77.062059}, {"Lat": 28.704603, "Lng": 77.073303}, {"Lat": 28.700462, "Lng": 77.08532}, {"Lat": 28.711582, "Lng": 77.094338}, {"Lat": 28.714368, "Lng": 77.092794}, {"Lat": 28.716325, "Lng": 77.094682}, {"Lat": 28.716895, "Lng": 77.093999}, {"Lat": 28.712604, "Lng": 77.08121}]
cd5bbf81-da95-3e5e-860e-d47f4ad2798d	5	Roshanpura	[{"Lat": 28.615417, "Lng": 76.981303}, {"Lat": 28.611581, "Lng": 76.978684}, {"Lat": 28.611506, "Lng": 76.974649}, {"Lat": 28.603443, "Lng": 76.971044}, {"Lat": 28.58808, "Lng": 76.959277}, {"Lat": 28.584223, "Lng": 76.994657}, {"Lat": 28.591036, "Lng": 76.993084}, {"Lat": 28.609088, "Lng": 76.984908}]
aff19dfb-1a9d-394c-9bac-96da695fd2ac	5	Dhaula Kuan	[{"Lat": 28.61577, "Lng": 77.141553}, {"Lat": 28.60787, "Lng": 77.141926}, {"Lat": 28.601992, "Lng": 77.134717}, {"Lat": 28.592062, "Lng": 77.160453}, {"Lat": 28.595663, "Lng": 77.168646}, {"Lat": 28.602763, "Lng": 77.180194}, {"Lat": 28.609168, "Lng": 77.172727}]
a06d88cd-00b4-3648-98d9-4e72ded5d537	5	Jahangirpura	[{"Lat": 28.757876, "Lng": 77.178854}, {"Lat": 28.752304, "Lng": 77.150327}, {"Lat": 28.738231, "Lng": 77.155219}, {"Lat": 28.73788, "Lng": 77.161637}, {"Lat": 28.737428, "Lng": 77.167559}, {"Lat": 28.732891, "Lng": 77.182836}]
554fc01c-b5d2-3ab6-a1af-640b553e9b1d	5	Sarai Kale Khan	[{"Lat": 28.600097, "Lng": 77.260575}, {"Lat": 28.599796, "Lng": 77.240491}, {"Lat": 28.578963, "Lng": 77.238769}, {"Lat": 28.580722, "Lng": 77.269312}, {"Lat": 28.588352, "Lng": 77.271389}, {"Lat": 28.595032, "Lng": 77.265336}, {"Lat": 28.601259, "Lng": 77.262714}]
