totalSupply,created_at
52,2021-08-29 08:33:52.092 UTC
58,2021-08-29 08:34:11.303 UTC
105,2021-08-29 08:34:35.448 UTC
108,2021-08-29 08:34:55.123 UTC
25,2021-08-29 08:37:26.263 UTC
28,2021-08-29 08:37:28.750 UTC
123,2021-08-29 08:37:54.749 UTC
122,2021-08-29 08:38:05.468 UTC
22,2021-08-29 08:39:28.351 UTC
19,2021-08-29 08:39:40.700 UTC
91,2021-08-29 08:39:52.274 UTC
38,2021-08-29 08:40:06.326 UTC
90,2021-08-29 08:40:53.311 UTC
17,2021-08-29 08:41:08.587 UTC
98,2021-08-29 08:41:36.899 UTC
118,2021-08-29 08:41:37.295 UTC
29,2021-08-29 08:41:39.822 UTC
118,2021-08-29 08:41:57.921 UTC
28,2021-08-29 08:42:09.340 UTC
114,2021-08-29 08:42:17.184 UTC
115,2021-08-29 08:42:38.904 UTC
120,2021-08-29 08:43:10.848 UTC
115,2021-08-29 08:44:26.498 UTC
100,2021-08-29 08:44:46.291 UTC
107,2021-08-29 08:44:51.156 UTC
120,2021-08-29 08:45:03.161 UTC
9,2021-08-29 08:45:52.471 UTC
79,2021-08-29 08:45:52.659 UTC
37,2021-08-29 08:46:02.555 UTC
88,2021-08-29 08:46:10.034 UTC
78,2021-08-29 08:46:23.509 UTC
22,2021-08-29 08:46:24.549 UTC
8,2021-08-29 08:46:28.304 UTC
9,2021-08-29 08:46:29.382 UTC
123,2021-08-29 08:46:52.568 UTC
38,2021-08-29 08:47:59.513 UTC
38,2021-08-29 08:48:19.228 UTC
37,2021-08-29 08:48:27.198 UTC
27,2021-08-29 08:50:21.672 UTC
13,2021-08-29 08:50:35.231 UTC
121,2021-08-29 08:50:44.776 UTC
131,2021-08-29 08:51:18.242 UTC
130,2021-08-29 08:51:37.531 UTC
139,2021-08-29 08:52:00.735 UTC
42,2021-08-29 08:52:03.703 UTC
15,2021-08-29 08:53:13.834 UTC
18,2021-08-29 08:53:30.872 UTC
130,2021-08-29 08:54:55.228 UTC
19,2021-08-29 08:55:35.019 UTC
144,2021-08-29 08:55:35.037 UTC
27,2021-08-29 08:55:50.330 UTC
141,2021-08-29 08:55:50.608 UTC
143,2021-08-29 08:56:22.111 UTC
141,2021-08-29 08:56:31.324 UTC
28,2021-08-29 08:56:45.419 UTC
40,2021-08-29 08:56:54.148 UTC
145,2021-08-29 08:56:56.580 UTC
139,2021-08-29 08:56:58.020 UTC
129,2021-08-29 08:57:00.711 UTC
144,2021-08-29 08:57:33.389 UTC
136,2021-08-29 08:58:02.015 UTC
120,2021-08-29 08:58:41.032 UTC
55,2021-08-29 08:59:11.169 UTC
45,2021-08-29 08:59:25.344 UTC
33,2021-08-29 09:00:08.680 UTC
106,2021-08-29 09:00:11.182 UTC
21,2021-08-29 09:00:30.562 UTC
139,2021-08-29 09:00:34.480 UTC
137,2021-08-29 09:00:42.809 UTC
127,2021-08-29 09:01:40.079 UTC
121,2021-08-29 09:01:52.808 UTC
77,2021-08-29 09:02:00.319 UTC
55,2021-08-29 09:02:13.208 UTC
137,2021-08-29 09:02:23.461 UTC
42,2021-08-29 09:02:28.049 UTC
11,2021-08-29 09:02:38.532 UTC
56,2021-08-29 09:02:45.220 UTC
140,2021-08-29 09:03:02.875 UTC
20,2021-08-29 09:03:48.618 UTC
45,2021-08-29 09:03:50.696 UTC
67,2021-08-29 09:04:01.727 UTC
55,2021-08-29 09:04:51.251 UTC
133,2021-08-29 09:05:01.156 UTC
55,2021-08-29 09:05:08.371 UTC
53,2021-08-29 09:05:45.520 UTC
30,2021-08-29 09:06:14.216 UTC
43,2021-08-29 09:06:35.287 UTC
142,2021-08-29 09:07:22.008 UTC
136,2021-08-29 09:07:43.223 UTC
138,2021-08-29 09:07:50.160 UTC
50,2021-08-29 09:08:27.779 UTC
95,2021-08-29 09:08:42.132 UTC
94,2021-08-29 09:08:47.072 UTC
130,2021-08-29 09:09:03.120 UTC
124,2021-08-29 09:09:11.301 UTC
51,2021-08-29 09:09:20.087 UTC
130,2021-08-29 09:09:26.961 UTC
131,2021-08-29 09:09:53.042 UTC
131,2021-08-29 09:10:35.426 UTC
136,2021-08-29 09:11:24.831 UTC
130,2021-08-29 09:11:55.382 UTC
132,2021-08-29 09:13:08.741 UTC
133,2021-08-29 09:13:23.015 UTC
9,2021-08-29 09:13:26.772 UTC
91,2021-08-29 09:13:38.662 UTC
10,2021-08-29 09:13:53.900 UTC
124,2021-08-29 09:14:24.715 UTC
126,2021-08-29 09:14:26.267 UTC
140,2021-08-29 09:15:11.228 UTC
131,2021-08-29 09:15:22.326 UTC
141,2021-08-29 09:15:31.526 UTC
20,2021-08-29 09:15:39.188 UTC
119,2021-08-29 09:16:04.476 UTC
48,2021-08-29 09:16:33.349 UTC
133,2021-08-29 09:16:52.955 UTC
32,2021-08-29 09:16:54.432 UTC
26,2021-08-29 09:16:57.192 UTC
137,2021-08-29 09:17:36.856 UTC
144,2021-08-29 09:18:23.255 UTC
67,2021-08-29 09:18:49.975 UTC
150,2021-08-29 09:19:12.573 UTC
136,2021-08-29 09:19:19.795 UTC
149,2021-08-29 09:19:23.259 UTC
149,2021-08-29 09:19:26.150 UTC
150,2021-08-29 09:19:26.598 UTC
149,2021-08-29 09:19:27.414 UTC
151,2021-08-29 09:19:28.149 UTC
147,2021-08-29 09:20:32.325 UTC
151,2021-08-29 09:20:46.056 UTC
22,2021-08-29 09:21:06.169 UTC
134,2021-08-29 09:21:07.210 UTC
151,2021-08-29 09:21:22.327 UTC
69,2021-08-29 09:21:34.065 UTC
135,2021-08-29 09:21:46.436 UTC
150,2021-08-29 09:21:52.173 UTC
136,2021-08-29 09:22:38.682 UTC
139,2021-08-29 09:23:06.079 UTC
38,2021-08-29 09:23:23.257 UTC
19,2021-08-29 09:23:38.135 UTC
82,2021-08-29 09:23:40.209 UTC
161,2021-08-29 09:23:43.440 UTC
64,2021-08-29 09:23:44.650 UTC
153,2021-08-29 09:23:59.911 UTC
104,2021-08-29 09:24:25.719 UTC
41,2021-08-29 09:24:40.340 UTC
38,2021-08-29 09:24:41.343 UTC
156,2021-08-29 09:24:48.944 UTC
55,2021-08-29 09:24:57.810 UTC
74,2021-08-29 09:25:13.475 UTC
146,2021-08-29 09:25:20.305 UTC
149,2021-08-29 09:25:24.731 UTC
140,2021-08-29 09:26:12.276 UTC
59,2021-08-29 09:26:20.103 UTC
60,2021-08-29 09:26:41.001 UTC
57,2021-08-29 09:26:44.394 UTC
139,2021-08-29 09:27:09.599 UTC
66,2021-08-29 09:27:30.992 UTC
61,2021-08-29 09:27:39.100 UTC
64,2021-08-29 09:27:43.143 UTC
133,2021-08-29 09:28:20.687 UTC
152,2021-08-29 09:28:55.934 UTC
56,2021-08-29 09:29:02.505 UTC
45,2021-08-29 09:29:22.533 UTC
20,2021-08-29 09:29:33.169 UTC
106,2021-08-29 09:29:34.677 UTC
53,2021-08-29 09:29:44.842 UTC
154,2021-08-29 09:30:05.837 UTC
39,2021-08-29 09:30:19.623 UTC
141,2021-08-29 09:30:46.547 UTC
20,2021-08-29 09:30:47.282 UTC
78,2021-08-29 09:30:51.686 UTC
156,2021-08-29 09:31:57.747 UTC
155,2021-08-29 09:32:29.565 UTC
60,2021-08-29 09:32:34.578 UTC
140,2021-08-29 09:33:11.378 UTC
161,2021-08-29 09:33:24.579 UTC
149,2021-08-29 09:33:31.273 UTC
69,2021-08-29 09:33:41.035 UTC
135,2021-08-29 09:33:42.390 UTC
168,2021-08-29 09:33:56.754 UTC
153,2021-08-29 09:33:59.055 UTC
161,2021-08-29 09:34:08.979 UTC
132,2021-08-29 09:34:12.698 UTC
163,2021-08-29 09:34:42.527 UTC
44,2021-08-29 09:34:53.138 UTC
53,2021-08-29 09:35:00.731 UTC
60,2021-08-29 09:35:32.336 UTC
73,2021-08-29 09:35:51.798 UTC
115,2021-08-29 09:36:19.366 UTC
165,2021-08-29 09:37:00.608 UTC
49,2021-08-29 09:37:24.547 UTC
132,2021-08-29 09:37:27.403 UTC
48,2021-08-29 09:37:29.088 UTC
49,2021-08-29 09:37:30.619 UTC
52,2021-08-29 09:37:40.914 UTC
75,2021-08-29 09:37:43.211 UTC
171,2021-08-29 09:38:10.769 UTC
51,2021-08-29 09:38:11.190 UTC
168,2021-08-29 09:38:13.192 UTC
53,2021-08-29 09:38:24.473 UTC
53,2021-08-29 09:38:27.167 UTC
170,2021-08-29 09:38:27.838 UTC
53,2021-08-29 09:38:28.679 UTC
68,2021-08-29 09:39:08.379 UTC
162,2021-08-29 09:39:09.138 UTC
172,2021-08-29 09:39:09.281 UTC
56,2021-08-29 09:39:12.866 UTC
